,target,time,turkId
19691,0,364.281005,ID7
19692,0,364.31100500000014,ID7
19693,0,364.32400000000007,ID7
19694,1,364.35400000000004,ID7
19695,1,364.368005,ID7
19696,1,364.4270000000001,ID7
19697,1,364.44300000000004,ID7
19698,1,364.47300000000007,ID7
19699,1,364.48900000000003,ID7
19700,1,364.74600500000014,ID7
19701,1,364.99700000000007,ID7
19705,2,366.082,ID7
19707,2,366.2320050000001,ID7
19708,2,366.303005,ID7
19709,2,367.822005,ID7
19710,2,367.95800500000007,ID7
19711,2,368.635005,ID7
19712,2,368.78800000000007,ID7
19713,2,369.00800000000004,ID7
19714,2,369.09700500000014,ID7
19715,2,369.532,ID7
19716,2,369.66400500000015,ID7
19717,2,369.85000000000014,ID7
19718,2,370.214005,ID7
19719,2,370.61600500000014,ID7
19720,2,371.34700500000014,ID7
19721,2,371.62800000000004,ID7
19722,2,371.76300000000003,ID7
19723,2,372.084,ID7
19724,2,372.110005,ID7
19725,2,374.835,ID7
19729,3,376.80800000000005,ID7
19731,3,378.546,ID7
19732,3,378.782,ID7
19733,3,378.99100500000014,ID7
19734,3,379.0810000000001,ID7
19735,3,379.2510050000001,ID7
19736,3,379.363005,ID7
19737,3,379.57600000000014,ID7
19738,3,379.635005,ID7
19739,3,379.87,ID7
19740,3,380.879005,ID7
19741,3,381.2920050000001,ID7
19742,3,381.465,ID7
19743,3,381.907,ID7
19744,3,382.24100500000014,ID7
19748,4,399.676,ID7
19750,4,399.92900000000003,ID7
19751,4,399.959,ID7
19752,4,400.03500000000014,ID7
19753,4,400.195,ID7
19754,4,400.23600000000016,ID7
19755,4,400.64000500000014,ID7
19756,4,400.96200000000016,ID7
19757,4,401.12100500000014,ID7
19762,4,402.44300000000004,ID7
19764,4,402.63900000000007,ID7
19765,4,402.78900500000015,ID7
19766,4,402.9820050000001,ID7
19767,4,403.19800000000004,ID7
19768,4,403.61600500000014,ID7
19769,4,403.659005,ID7
19770,4,404.024,ID7
19771,4,404.110005,ID7
19772,4,405.10400000000004,ID7
19773,4,405.125,ID7
19774,4,405.13800000000003,ID7
19778,0,413.279005,ID7
19780,0,414.3570050000001,ID7
19782,0,419.166,ID7
19784,0,422.31,ID7
19786,0,430.13100000000014,ID7
19788,0,438.41700500000013,ID7
19790,0,438.45700000000016,ID7
19792,0,438.68600500000014,ID7
19794,0,440.222005,ID7
19796,0,441.61000500000017,ID7
19798,0,445.085,ID7
